工单编号,涉及告警基站或小区名称,故障发生时间,故障原因定位（大类）
1,11d20c4cb8a961423def790cd352bd8e,2019/1/30 8:00,主设备-硬件故障
2,863b806d44310cf7ba8adebed7be373a,2019/1/30 22:11,动力环境-电力部门供电
3,a11af1a9f3172da2689c8335cb2931a1,2019/1/31 9:00,主设备-设备复位问题
4,083bab50e2dd26525a6ed83dee031284,2019/1/31 9:33,其他-误告警或自动恢复
5,f2c465ddf18f3c710392d7c00060a567,2019/1/31 9:33,主设备-设备复位问题
6,ee831ac5c191202d554bd55f95007beb,2019/1/31 10:28,动力环境-电力部门供电
7,99be67482a13a9d2e79d25e3c615f3ba,2019/1/31 12:15,主设备-设备连线故障
8,f2d5358b7a7eff6ddb30d7063ffdfb5f,2019/1/31 12:22,主设备-设备连线故障
9,46b3082d77d49f68338af7debcaa91ff,2019/1/31 13:21,主设备-设备复位问题
10,87e2e8224e1cf68477996933cb685a75,2019/1/31 15:07,主设备-设备复位问题
11,1b8181b2d892a185e1c7d60636561479,2019/1/31 15:40,主设备-硬件故障
12,20346145f4a09e6384db74f2809a9b2a,2019/1/31 16:24,主设备-设备复位问题
13,4d6d862dcda283714b9cff35a091c8f5,2019/1/31 18:14,主设备-设备复位问题
14,4cc40e6766fead055d7a6fa1c5521796,2019/1/31 19:11,人为操作-物业原因
15,b7c64c4360518242d2a793e8543fc10c,2019/1/31 20:30,主设备-天馈线故障
16,eb01bffd764b4aad8f62e2b3c414e4db,2019/1/31 21:54,主设备-设备复位问题
17,4169eb7f2ea0a672b79a80815a0ffd31,2019/1/31 22:08,主设备-参数配置异常
18,2733b8de4134c9ef0cba86199486d4ff,2019/1/31 22:14,主设备-硬件故障
19,b4152cd4c4c09302697ffeb17bb846c1,2019/1/31 22:16,主设备-参数配置异常
20,8ab45d12a5bcf37593c542d30f713785,2019/1/31 22:19,主设备-设备连线故障

